pair_id	paired-sentence-0	paired-sentence-1	paired-sentence-clean-0	paired-sentence-clean-1	Bertscore-f1	Bertscore-p	Bertscore-r	ppl-0	ppl-1	max_ratio_ppl	min_ratio_ppl	ratio_ppl	sentence-0	lemmas-0	n_tokens-0	n_chars-0	n_chars_lw-0	pos_lw-0	longest_word-0	sentence-1	lemmas-1	n_tokens-1	n_chars-1	n_chars_lw-1	pos_lw-1	longest_word-1	max_ratio_n_tokens	min_ratio_n_tokens	ratio_n_tokens	max_ratio_n_chars	min_ratio_n_chars	ratio_n_chars	max_ratio_n_chars_lw	min_ratio_n_chars_lw	ratio_n_chars_lw	max_ratio_pos_lw	min_ratio_pos_lw	ratio_pos_lw	LD	ED_bow	WPD	phonemes_ws-0	phonemes_wo_stress_ws-0	n_phonemes-0	phonemes_ws-1	phonemes_wo_stress_ws-1	n_phonemes-1	max_ratio_n_phonemes	min_ratio_n_phonemes	ratio_n_phonemes	ED_ph	ED_ph_sub	pSTOI-0	pSTOI-1	max_ratio_pSTOI	min_ratio_pSTOI	ratio_pSTOI	paraphrases_id	STOI-input_text	STOI-best_hypo	best_hypo_ratio_STOI
0	it's the type of thing that she was living down in Florida.	She used to live down in Florida ,  dealing with that situation.	it's the type of thing that she was living down in florida.	she used to live down in florida ,  dealing with that situation.	0.8326	0.8208	0.8447	86.149	144.482	1.677	0.596	1.677	it 's the type of thing that she was living down in florida .	it 's the type of thing that she wa living down in florida .	14	48	7	13	florida	she used to live down in florida , dealing with that situation .	she used to live down in florida , dealing with that situation .	13	52	9	12	situation	1.077	0.929	0.929	1.083	0.923	1.083	1.286	0.778	1.286	1.083	0.923	0.923	0.714	0.62	0.37	IH1 T - ' - EH1 S - DH AH0 - T AY1 P - AH1 V - TH IH1 NG - DH AE1 T - SH IY1 - W AA1 Z - L IH1 V IH0 NG - D AW1 N - IH0 N - F L AO1 R AH0 D AH0 - .	IH T - ' - EH S - DH AH - T AY P - AH V - TH IH NG - DH AE T - SH IY - W AA Z - L IH V IH NG - D AW N - IH N - F L AO R AH D AH - .	41	SH IY1 - Y UW1 S T - T UW1 - L AY1 V - D AW1 N - IH0 N - F L AO1 R AH0 D AH0 - , - D IY1 L IH0 NG - W IH1 DH - DH AE1 T - S IH2 CH UW0 EY1 SH AH0 N - .	SH IY - Y UW S T - T UW - L AY V - D AW N - IH N - F L AO R AH D AH - , - D IY L IH NG - W IH DH - DH AE T - S IH CH UW EY SH AH N - .	44	1.073	0.932	1.073	0.8409090909090909	1.1136363636363635	0.567	0.595	1.049	0.953	1.049	0	0.59428	0.55705	0.9373527630073366
1	the other part of her family was up in ,  New York state.	Her other family members stayed in New York state ,  all the way up.	the other part of her family was up in ,  new york state.	her other family members stayed in new york state ,  all the way up.	0.8678	0.8786	0.8572	138.867	136.974	1.014	0.986	0.986	the other part of her family was up in , new york state .	the other part of her family wa up in , new york state .	14	44	6	6	family	her other family members stayed in new york state , all the way up .	her other family member stayed in new york state , all the way up .	15	54	7	4	members	1.071	0.933	1.071	1.227	0.815	1.227	1.167	0.857	1.167	1.5	0.667	0.667	0.389	0.765	0.28	DH AH0 - AH1 DH ER0 - P AA1 R T - AH1 V - HH ER0 - F AE1 M AH0 L IY0 - W AA1 Z - AH1 P - IH0 N - , - N UW1 - Y AO1 R K - S T EY1 T - .	DH AH - AH DH ER - P AA R T - AH V - HH ER - F AE M AH L IY - W AA Z - AH P - IH N - , - N UW - Y AO R K - S T EY T - .	38	HH ER0 - AH1 DH ER0 - F AE1 M AH0 L IY0 - M EH1 M B ER0 Z - S T EY1 D - IH0 N - N UW1 - Y AO1 R K - S T EY1 T - , - AO1 L - DH AH0 - W EY1 - AH1 P - .	HH ER - AH DH ER - F AE M AH L IY - M EH M B ER Z - S T EY D - IH N - N UW - Y AO R K - S T EY T - , - AO L - DH AH - W EY - AH P - .	43	1.132	0.884	1.132	0.6744186046511628	0.813953488372093	0.553	0.572	1.034	0.967	1.034	1	0.53522	0.50727	0.9477784836142148
2	the nursing home was the ,  best facility to put her in.	Putting her in the nursing home was the smartest choice for her.	the nursing home was the ,  best facility to put her in.	putting her in the nursing home was the smartest choice for her.	0.876	0.8731	0.879	277.228	69.02	4.017	0.249	0.249	the nursing home was the , best facility to put her in .	the nursing home wa the , best facility to put her in .	13	44	8	8	facility	putting her in the nursing home was the smartest choice for her .	putting her in the nursing home wa the smartest choice for her .	13	53	8	9	smartest	1.0	1.0	1.0	1.205	0.83	1.205	1.0	1.0	1.0	1.125	0.889	1.125	0.562	0.699	0.3	DH AH0 - N ER1 S IH0 NG - HH OW1 M - W AA1 Z - DH AH0 - , - B EH1 S T - F AH0 S IH1 L IH0 T IY0 - T UW1 - P UH1 T - HH ER0 - IH0 N - .	DH AH - N ER S IH NG - HH OW M - W AA Z - DH AH - , - B EH S T - F AH S IH L IH T IY - T UW - P UH T - HH ER - IH N - .	38	P AH1 T IH0 NG - HH ER0 - IH0 N - DH AH0 - N ER1 S IH0 NG - HH OW1 M - W AA1 Z - DH AH0 - S M AA1 R T AH0 S T - CH OY1 S - F AO1 R - HH ER0 - .	P AH T IH NG - HH ER - IH N - DH AH - N ER S IH NG - HH OW M - W AA Z - DH AH - S M AA R T AH S T - CH OY S - F AO R - HH ER - .	41	1.079	0.927	1.079	0.6097560975609756	0.8048780487804879	0.571	0.596	1.044	0.958	1.044	2	0.55865	0.53807	0.9631611921596708
3	you essentially need to have someone taking care of the person full - time.	Someone must be there around the clock to look after the individual.	you essentially need to have someone taking care of the person full - time.	someone must be there around the clock to look after the individual.	0.8158	0.8096	0.8221	208.863	95.185	2.194	0.456	0.456	you essentially need to have someone taking care of the person full - time .	you essentially need to have someone taking care of the person full - time .	15	62	11	2	essentially	someone must be there around the clock to look after the individual .	someone must be there around the clock to look after the individual .	13	57	10	12	individual	1.154	0.867	0.867	1.088	0.919	0.919	1.1	0.909	0.909	6.0	0.167	6.0	0.826	0.485	0.23	Y UW1 - IH0 S EH1 N SH AH0 L IY0 - N IY1 D - T UW1 - HH AE1 V - S AH1 M W AH2 N - T EY1 K IH0 NG - K EH1 R - AH1 V - DH AH0 - P ER1 S AH0 N - F UH1 L - - - T AY1 M - .	Y UW - IH S EH N SH AH L IY - N IY D - T UW - HH AE V - S AH M W AH N - T EY K IH NG - K EH R - AH V - DH AH - P ER S AH N - F UH L - - - T AY M - .	49	S AH1 M W AH2 N - M AH1 S T - B IY1 - DH EH1 R - ER0 AW1 N D - DH AH0 - K L AA1 K - T UW1 - L UH1 K - AE1 F T ER0 - DH AH0 - IH2 N D AH0 V IH1 JH AH0 W AH0 L - .	S AH M W AH N - M AH S T - B IY - DH EH R - ER AW N D - DH AH - K L AA K - T UW - L UH K - AE F T ER - DH AH - IH N D AH V IH JH AH W AH L - .	48	1.021	0.98	0.98	0.7959183673469388	1.2653061224489797	0.587	0.566	1.037	0.964	0.964	3	0.57752	0.58278	1.0091079096827815
4	you get one person who's a little bit dishonest working in there	In that place ,  there's one individual who is somewhat deceptive ,  unfortunately.	you get one person who's a little bit dishonest working in there	in that place ,  there's one individual who is somewhat deceptive ,  unfortunately.	0.8149	0.8149	0.8148	254.3	198.115	1.284	0.779	0.779	you get one person who 's a little bit dishonest working in there	you get one person who 's a little bit dishonest working in there	13	53	9	10	dishonest	in that place , there 's one individual who is somewhat deceptive , unfortunately .	in that place , there 's one individual who is somewhat deceptive , unfortunately .	15	69	13	14	unfortunately	1.154	0.867	1.154	1.302	0.768	1.302	1.444	0.692	1.444	1.4	0.714	1.4	0.773	0.447	0.44	Y UW1 - G EH1 T - W AH1 N - P ER1 S AH0 N - HH UW1 - ' - EH1 S - AH0 - L IH1 T AH0 L - B IH1 T - D IH0 S AA1 N AH0 S T - W ER1 K IH0 NG - IH0 N - DH EH1 R	Y UW - G EH T - W AH N - P ER S AH N - HH UW - ' - EH S - AH - L IH T AH L - B IH T - D IH S AA N AH S T - W ER K IH NG - IH N - DH EH R	45	IH0 N - DH AE1 T - P L EY1 S - , - DH EH1 R - ' - EH1 S - W AH1 N - IH2 N D AH0 V IH1 JH AH0 W AH0 L - HH UW1 - IH1 Z - S AH1 M W AH1 T - D IH0 S EH1 P T IH0 V - , - AH0 N F AO1 R CH AH0 N AH0 T L IY0 - .	IH N - DH AE T - P L EY S - , - DH EH R - ' - EH S - W AH N - IH N D AH V IH JH AH W AH L - HH UW - IH Z - S AH M W AH T - D IH S EH P T IH V - , - AH N F AO R CH AH N AH T L IY - .	62	1.378	0.726	1.378	0.7903225806451613	1.1129032258064515	0.579	0.595	1.028	0.973	1.028	4	0.48585	0.55512	1.1425748687866624
5	the nurses and doctors really didn't put loving care for them.	The nurses and doctors lacked compassion when caring for them ,  I suppose.	the nurses and doctors really didn't put loving care for them.	the nurses and doctors lacked compassion when caring for them ,  i suppose.	0.8803	0.8981	0.8633	443.197	228.636	1.938	0.516	0.516	the nurses and doctors really did n't put loving care for them .	the nurse and doctor really did n't put loving care for them .	13	52	7	4	doctors	the nurses and doctors lacked compassion when caring for them , i suppose .	the nurse and doctor lacked compassion when caring for them , i suppose .	14	62	10	6	compassion	1.077	0.929	1.077	1.192	0.839	1.192	1.429	0.7	1.429	1.5	0.667	1.5	0.65	0.591	0.07	DH AH0 - N ER1 S AH0 Z - AH0 N D - D AA1 K T ER0 Z - R IH1 L IY0 - D IH1 D - EH1 N T AY1 - P UH1 T - L AH1 V IH0 NG - K EH1 R - F AO1 R - DH EH1 M - .	DH AH - N ER S AH Z - AH N D - D AA K T ER Z - R IH L IY - D IH D - EH N T AY - P UH T - L AH V IH NG - K EH R - F AO R - DH EH M - .	45	DH AH0 - N ER1 S AH0 Z - AH0 N D - D AA1 K T ER0 Z - L AE1 K T - K AH0 M P AE1 SH AH0 N - W EH1 N - K EH1 R IH0 NG - F AO1 R - DH EH1 M - , - AY1 - S AH0 P OW1 Z - .	DH AH - N ER S AH Z - AH N D - D AA K T ER Z - L AE K T - K AH M P AE SH AH N - W EH N - K EH R IH NG - F AO R - DH EH M - , - AY - S AH P OW Z - .	50	1.111	0.9	1.111	0.52	0.7	0.572	0.642	1.122	0.891	1.122	5	0.69127	0.74986	1.0847570413875909
6	Either that or they're just so understaffed that they can't afford	Maybe they're understaffed and they don't have enough resources to handle it.	either that or they're just so understaffed that they can't afford	maybe they're understaffed and they don't have enough resources to handle it.	0.8368	0.8351	0.8386	280.421	99.019	2.832	0.353	0.353	either that or they 're just so understaffed that they ca n't afford	either that or they 're just so understaffed that they ca n't afford	13	56	12	8	understaffed	maybe they 're understaffed and they do n't have enough resources to handle it .	maybe they 're understaffed and they do n't have enough resource to handle it .	15	66	12	4	understaffed	1.154	0.867	1.154	1.179	0.848	1.179	1.0	1.0	1.0	2.0	0.5	0.5	0.81	0.561	0.31	IY1 DH ER0 - DH AE1 T - AO1 R - DH EY1 - ' - R EY1 - JH AH1 S T - S OW1 - AH1 N D ER0 S T AE2 F T - DH AE1 T - DH EY1 - K AH1 - EH1 N T AY1 - AH0 F AO1 R D	IY DH ER - DH AE T - AO R - DH EY - ' - R EY - JH AH S T - S OW - AH N D ER S T AE F T - DH AE T - DH EY - K AH - EH N T AY - AH F AO R D	44	M EY1 B IY0 - DH EY1 - ' - R EY1 - AH1 N D ER0 S T AE2 F T - AH0 N D - DH EY1 - D UW1 - EH1 N T AY1 - HH AE1 V - IH0 N AH1 F - R IY1 S AO0 R S IH0 Z - T UW1 - HH AE1 N D AH0 L - IH1 T - .	M EY B IY - DH EY - ' - R EY - AH N D ER S T AE F T - AH N D - DH EY - D UW - EH N T AY - HH AE V - IH N AH F - R IY S AO R S IH Z - T UW - HH AE N D AH L - IH T - .	55	1.25	0.8	1.25	0.7272727272727273	0.8545454545454545	0.608	0.601	1.012	0.988	0.988	6	0.61136	0.56556	0.9250850562679924
7	he'd much rather be living alone in his apartment down in Florida.	He prefers living alone in his Florida apartment ,  even in noisy surroundings.	he'd much rather be living alone in his apartment down in florida.	he prefers living alone in his florida apartment ,  even in noisy surroundings.	0.8529	0.8462	0.8598	252.303	217.054	1.162	0.86	0.86	he 'd much rather be living alone in his apartment down in florida .	he 'd much rather be living alone in his apartment down in florida .	14	55	9	10	apartment	he prefers living alone in his florida apartment , even in noisy surroundings .	he prefers living alone in his florida apartment , even in noisy surroundings .	14	66	12	13	surroundings	1.0	1.0	1.0	1.2	0.833	1.2	1.333	0.75	1.333	1.3	0.769	1.3	0.556	0.679	0.18	HH IY1 - ' - D IY1 - M AH1 CH - R AE1 DH ER0 - B IY1 - L IH1 V IH0 NG - AH0 L OW1 N - IH0 N - HH IH1 Z - AH0 P AA1 R T M AH0 N T - D AW1 N - IH0 N - F L AO1 R AH0 D AH0 - .	HH IY - ' - D IY - M AH CH - R AE DH ER - B IY - L IH V IH NG - AH L OW N - IH N - HH IH Z - AH P AA R T M AH N T - D AW N - IH N - F L AO R AH D AH - .	50	HH IY1 - P R AH0 F ER1 Z - L IH1 V IH0 NG - AH0 L OW1 N - IH0 N - HH IH1 Z - F L AO1 R AH0 D AH0 - AH0 P AA1 R T M AH0 N T - , - IY1 V IH0 N - IH0 N - N OY1 Z IY0 - S ER0 AW1 N D IH0 NG Z - .	HH IY - P R AH F ER Z - L IH V IH NG - AH L OW N - IH N - HH IH Z - F L AO R AH D AH - AH P AA R T M AH N T - , - IY V IH N - IH N - N OY Z IY - S ER AW N D IH NG Z - .	58	1.16	0.862	1.16	0.5517241379310345	0.7586206896551724	0.576	0.565	1.019	0.981	0.981	7	0.59234	0.53999	0.911621703751224
8	a bit of a shock to the system ,  weather - wise ,  if nothing else.	The weather might be quite surprising but there's nothing else to worry about.	a bit of a shock to the system ,  weather - wise ,  if nothing else.	the weather might be quite surprising but there's nothing else to worry about.	0.7485	0.7575	0.7398	159.319	74.17	2.148	0.466	0.466	a bit of a shock to the system , weather - wise , if nothing else .	a bit of a shock to the system , weather - wise , if nothing else .	17	51	7	10	weather	the weather might be quite surprising but there 's nothing else to worry about .	the weather might be quite surprising but there 's nothing else to worry about .	15	66	10	6	surprising	1.133	0.882	0.882	1.294	0.773	1.294	1.429	0.7	1.429	1.667	0.6	0.6	0.75	0.48	0.3	AH0 - B IH1 T - AH1 V - AH0 - SH AA1 K - T UW1 - DH AH0 - S IH1 S T AH0 M - , - W EH1 DH ER0 - - - W AY1 Z - , - IH1 F - N AH1 TH IH0 NG - EH1 L S - .	AH - B IH T - AH V - AH - SH AA K - T UW - DH AH - S IH S T AH M - , - W EH DH ER - - - W AY Z - , - IH F - N AH TH IH NG - EH L S - .	41	DH AH0 - W EH1 DH ER0 - M AY1 T - B IY1 - K W AY1 T - S ER0 P R AY1 Z IH0 NG - B AH1 T - DH EH1 R - ' - EH1 S - N AH1 TH IH0 NG - EH1 L S - T UW1 - W ER1 IY0 - AH0 B AW1 T - .	DH AH - W EH DH ER - M AY T - B IY - K W AY T - S ER P R AY Z IH NG - B AH T - DH EH R - ' - EH S - N AH TH IH NG - EH L S - T UW - W ER IY - AH B AW T - .	50	1.22	0.82	1.22	0.78	1.04	0.654	0.631	1.036	0.965	0.965	8	0.58295	0.59198	1.015490179260657
9	There wasn't anything like that ,  that you could do in Florida ?	Did Florida not offer any similar activities or options for you ?	there wasn't anything like that ,  that you could do in florida ?	did florida not offer any similar activities or options for you ?	0.7724	0.7718	0.7729	159.506	367.157	2.302	0.434	2.302	there was n't anything like that , that you could do in florida ?	there wa n't anything like that , that you could do in florida ?	14	52	8	4	anything	did florida not offer any similar activities or options for you ?	did florida not offer any similar activity or option for you ?	12	54	10	7	activities	1.167	0.857	0.857	1.038	0.963	1.038	1.25	0.8	1.25	1.75	0.571	1.75	0.864	0.507	0.37	DH EH1 R - W AA1 Z - EH1 N T AY1 - EH1 N IY0 TH IH2 NG - L AY1 K - DH AE1 T - , - DH AE1 T - Y UW1 - K UH1 D - D UW1 - IH0 N - F L AO1 R AH0 D AH0 - ?	DH EH R - W AA Z - EH N T AY - EH N IY TH IH NG - L AY K - DH AE T - , - DH AE T - Y UW - K UH D - D UW - IH N - F L AO R AH D AH - ?	43	D IH1 D - F L AO1 R AH0 D AH0 - N AA1 T - AO1 F ER0 - EH1 N IY0 - S IH1 M AH0 L ER0 - AE0 K T IH1 V AH0 T IY0 Z - AO1 R - AA1 P SH AH0 N Z - F AO1 R - Y UW1 - ?	D IH D - F L AO R AH D AH - N AA T - AO F ER - EH N IY - S IH M AH L ER - AE K T IH V AH T IY Z - AO R - AA P SH AH N Z - F AO R - Y UW - ?	48	1.116	0.896	1.116	0.7708333333333334	1.2291666666666667	0.549	0.606	1.104	0.906	1.104	9	0.54491	0.54484	0.9998715384191884
